LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
00749nas a2200229uu 4500," Graaf, Jacobus Joannes,  1839-1924", Nederlandsche Doopnamen :  Naar Oorsprong en Gebruik  [electronic resource] /  Jacobus Joannes Graaf," Project Gutenberg,  2008", Public domain in the USA., Text," Names, Personal -- Netherlands", Dutch language -- Etymology -- Names,,,, Project Gutenberg  25089, http://www.gutenberg.org/ebooks/25089
00752nas a2200241uu 4500," Smith, Harry L.,  1877-1949", The Tale of Billy Woodchuck  [electronic resource] /  Harry L. Smith," Project Gutenberg,  2008", Public domain in the USA., Text, Animals -- Juvenile fiction, Conduct of life -- Juvenile fiction, Woodchuck -- Juvenile fiction,,, Project Gutenberg  25090, http://www.gutenberg.org/ebooks/25090
00940nas a2200253uu 4500," Oldmixon, Mr.  (John),  1673-1742", Reflections on Dr. Swift's Letter to Harley (1712) and The British Academy (1712)  [electronic resource] /  Mr. Oldmixon," Project Gutenberg,  2008", Public domain in the USA., Text, English language -- Early works to 1800," British Academy, London (Founded ca. 1712)"," Swift, Jonathan, 1667-1745. Proposal for correcting, improving, and ascertaining the English tongue", Académie française,, Project Gutenberg  25091, http://www.gutenberg.org/ebooks/25091
00686nas a2200217uu 4500," Herbert, Henry William,  1807-1858"," The Roman Traitor, Vol. 1  [electronic resource] /  Henry William Herbert"," Project Gutenberg,  2008", Public domain in the USA., Text," Rome -- History -- Republic, 265-30 B.C. -- Fiction",,,,, Project Gutenberg  25092, http://www.gutenberg.org/ebooks/25092
00711nas a2200229uu 4500,," Harper's New Monthly Magazine, Vol. 3, July, 1851  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, Civilization -- Periodicals, Culture -- Periodicals, American literature -- Periodicals,,, Project Gutenberg  25093, http://www.gutenberg.org/ebooks/25093
00656nas a2200229uu 4500," Hickey, H. B.,  1916-1987", Daughters of Doom  [electronic resource] /  H. B. Hickey," Project Gutenberg,  2008", Public domain in the USA., Text, Science fiction, Short stories,,,, Project Gutenberg  25094, http://www.gutenberg.org/ebooks/25094
00681nas a2200217uu 4500," Barnum, Vance"," Joe Strong, the Boy Fish :   or Marvelous Doings in a Big Tank  [electronic resource] /  Vance Barnum"," Project Gutenberg,  2008", Public domain in the USA., Text, Circus performers -- Juvenile fiction,,,,, Project Gutenberg  25095, http://www.gutenberg.org/ebooks/25095
00686nas a2200217uu 4500," Herbert, Henry William,  1807-1858"," The Roman Traitor, Vol. 2  [electronic resource] /  Henry William Herbert"," Project Gutenberg,  2008", Public domain in the USA., Text," Rome -- History -- Republic, 265-30 B.C. -- Fiction",,,,, Project Gutenberg  25096, http://www.gutenberg.org/ebooks/25096
00748nas a2200217uu 4500," Viollet-le-Duc, Eugène-Emmanuel,  1814-1879"," Cités et ruines américaines :   Mitla, Palenqué, Izamal, Chichen-Itza, Uxmal  [electronic resource] /  Eugène-Emmanuel Viollet-le-Duc"," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25097, http://www.gutenberg.org/ebooks/25097
00679nas a2200229uu 4500," Brown, Howard V.,  1863-", The Tree-Dwellers  [electronic resource] /  Howard V. Brown," Project Gutenberg,  2008", Public domain in the USA., Text, Readers, Prehistoric peoples -- Juvenile literature,,,, Project Gutenberg  25098, http://www.gutenberg.org/ebooks/25098
00714nas a2200241uu 4500," Rhodes, James Ford,  1848-1927", Historical Essays  [electronic resource] /  James Ford Rhodes," Project Gutenberg,  2008", Public domain in the USA., Text, Great Britain -- History, United States -- History, History,,, Project Gutenberg  25099, http://www.gutenberg.org/ebooks/25099
00693nas a2200217uu 4500," Griffin, Martin I. J.  (Martin Ignatius Joseph),  1842-1911", The Story of Commodore John Barry  [electronic resource] /  Martin I. J. Griffin," Project Gutenberg,  2008", Public domain in the USA., Text," Barry, John, 1745-1803",,,,, Project Gutenberg  25100, http://www.gutenberg.org/ebooks/25100
00781nas a2200217uu 4500,," The Continental Monthly, Vol 2, No 6, December 1862 :   Devoted to Literature and National Policy  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text," Literature, Modern -- 19th century -- Periodicals", United States -- Politics and government -- 19th century -- Periodicals,,,, Project Gutenberg  25101, http://www.gutenberg.org/ebooks/25101
00845nas a2200265uu 4500," Crewe-Jones, Florence,  1880-1938", Nobody's Boy :   Sans Famille  [electronic resource] /  Florence Crewe-Jones," Project Gutenberg,  2008", Public domain in the USA., Text, Street entertainers -- Fiction, Adventure and adventurers -- Fiction, Orphans -- Fiction, France -- History -- 19th century -- Fiction,, Project Gutenberg  25102, http://www.gutenberg.org/ebooks/25102
00695nas a2200217uu 4500," Morris, Charles,  1833-1922"," Historic Tales :  The Romance of Reality. Vol. 02 (of 15), American (2)  [electronic resource] /  Charles Morris"," Project Gutenberg,  2008", Public domain in the USA., Text, United States -- History,,,,, Project Gutenberg  25103, http://www.gutenberg.org/ebooks/25103
00669nas a2200229uu 4500," Rainey, Thomas", Ocean Steam Navigation and the Ocean Post  [electronic resource] /  Thomas Rainey," Project Gutenberg,  2008", Public domain in the USA., Text, Mail steamers, Steam-navigation,,,, Project Gutenberg  25104, http://www.gutenberg.org/ebooks/25104
00659nas a2200229uu 4500," Becke, Louis,  1855-1913", Pâkia :   1901  [electronic resource] /  Louis Becke," Project Gutenberg,  2008", Public domain in the USA., Text, Oceania -- Fiction, Short stories,,,, Project Gutenberg  25105, http://www.gutenberg.org/ebooks/25105
00655nas a2200217uu 4500," Becke, Louis,  1855-1913"," ""The Gallant, Good Riou"", and Jack Renton :   1901  [electronic resource] /  Louis Becke"," Project Gutenberg,  2008", Public domain in the USA., Text, Sea stories,,,,, Project Gutenberg  25106, http://www.gutenberg.org/ebooks/25106
00660nas a2200229uu 4500," Becke, Louis,  1855-1913", Sarréo :   1901  [electronic resource] /  Louis Becke," Project Gutenberg,  2008", Public domain in the USA., Text, Short stories, Oceania -- Fiction,,,, Project Gutenberg  25107, http://www.gutenberg.org/ebooks/25107
00694nas a2200229uu 4500," Becke, Louis,  1855-1913", The South Seaman :   An Incident In The Sea Story Of Australia - 1901  [electronic resource] /  Louis Becke," Project Gutenberg,  2008", Public domain in the USA., Text, Mutiny, Essays,,,, Project Gutenberg  25108, http://www.gutenberg.org/ebooks/25108
00660nas a2200229uu 4500," Becke, Louis,  1855-1913", Susâni :   1901  [electronic resource] /  Louis Becke," Project Gutenberg,  2008", Public domain in the USA., Text, Oceania -- Fiction, Short stories,,,, Project Gutenberg  25109, http://www.gutenberg.org/ebooks/25109
00640nas a2200217uu 4500," Perry, Ralph Barton,  1876-1957", The Approach to Philosophy  [electronic resource] /  Ralph Barton Perry," Project Gutenberg,  2008", Public domain in the USA., Text, Philosophy,,,,, Project Gutenberg  25110, http://www.gutenberg.org/ebooks/25110
00635nas a2200217uu 4500," King, Richard,  1879-1947", Over the Fireside with Silent Friends  [electronic resource] /  Richard King," Project Gutenberg,  2008", Public domain in the USA., Text, Essays,,,,, Project Gutenberg  25111, http://www.gutenberg.org/ebooks/25111
00746nas a2200217uu 4500," Hopkins, J. Castell  (John Castell),  1864-1923", The Life of King Edward VII :   with a sketch of the career of King George V  [electronic resource] /  J. Castell Hopkins," Project Gutenberg,  2008", Public domain in the USA., Text," Edward VII, King of Great Britain, 1841-1910",,,,, Project Gutenberg  25112, http://www.gutenberg.org/ebooks/25112
00722nas a2200217uu 4500," Gomes, Marques,  1853-1931", Centenario do Revolução de 1820 :   Integração de Aveiro nesse glorioso movimento  [electronic resource] /  Marques Gomes," Project Gutenberg,  2008", Public domain in the USA., Text," Portugal -- History -- Revolution, 1820",,,,, Project Gutenberg  25113, http://www.gutenberg.org/ebooks/25113
00719nas a2200217uu 4500," Castelo Branco, Camilo,  1825-1890"," Noites de insomnia, offerecidas a quem não póde dormir. Nº 04 (de 12)  [electronic resource] /  Camilo Castelo Branco"," Project Gutenberg,  2008", Public domain in the USA., Text, Portuguese literature -- 19th century,,,,, Project Gutenberg  25114, http://www.gutenberg.org/ebooks/25114
00759nas a2200229uu 4500," Burritt, Elihu,  1810-1879"," A Journal of a Visit of Three Days to Skibbereen, and its Neighbourhood  [electronic resource] /  Elihu Burritt"," Project Gutenberg,  2008", Public domain in the USA., Text, Famines -- Ireland -- Skibbereen, Skibbereen (Ireland) -- Economic conditions,,,, Project Gutenberg  25115, http://www.gutenberg.org/ebooks/25115
00655nas a2200205uu 4500,," The New England Magazine, Volume 1, No. 5, Bay State Monthly, Volume 4, No. 5, May, 1886  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, New England -- Periodicals,,,,, Project Gutenberg  25116, http://www.gutenberg.org/ebooks/25116
00714nas a2200217uu 4500," Burne, C. R. N.  (Charles Richard Newdigate)"," With the Naval Brigade in Natal, 1899-1900 :  Journal of Active Service  [electronic resource] /  C. R. N. Burne"," Project Gutenberg,  2008", Public domain in the USA., Text," South African War, 1899-1902",,,,, Project Gutenberg  25117, http://www.gutenberg.org/ebooks/25117
01153nas a2200325uu 4500," Harland, Marion,  1830-1922", When Grandmamma Was New :  The Story of a Virginia Childhood  [electronic resource] /  Marion Harland," Project Gutenberg,  2008", Public domain in the USA., Text, Christian life -- Juvenile fiction, Virginia -- Juvenile fiction, Conduct of life -- Juvenile fiction, Country life -- Juvenile fiction, Children -- Conduct of life -- Juvenile fiction, Project Gutenberg  25118, http://www.gutenberg.org/ebooks/25118
00778nas a2200241uu 4500," Warburton, George,  1816-1857"," The Conquest of Canada, Vol. 1  [electronic resource] /  George Warburton"," Project Gutenberg,  2008", Public domain in the USA., Text, Canada -- Description and travel, Indians of North America -- Canada, Canada -- History -- To 1763 (New France),,, Project Gutenberg  25119, http://www.gutenberg.org/ebooks/25119
00596nas a2200205uu 4500," Marlitt, E.  (Eugenie),  1825-1887", Aron prinsessa  [electronic resource] /  E. Marlitt," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25120, http://www.gutenberg.org/ebooks/25120
00593nas a2200217uu 4500," Wang, Yisun", ???  [electronic resource] /  Yisun Wang," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25121, http://www.gutenberg.org/ebooks/25121
00686nas a2200217uu 4500," Mahan, A. T.  (Alfred Thayer),  1840-1914"," From Sail to Steam, Recollections of Naval Life  [electronic resource] /  A. T. Mahan"," Project Gutenberg,  2008", Public domain in the USA., Text, United States. Navy -- History,,,,, Project Gutenberg  25122, http://www.gutenberg.org/ebooks/25122
00837nas a2200265uu 4500," Li, Gao,  1180-1251", ???  [electronic resource] /  Gao Li," Project Gutenberg,  2008", Public domain in the USA., Text," Medicine, Chinese -- Early works to 1800", Stomach -- Diseases -- Early works to 1800, Gastroenterology -- Early works to 1800, Spleen -- Diseases -- Early works to 1800,, Project Gutenberg  25123, http://www.gutenberg.org/ebooks/25123
00716nas a2200241uu 4500," Liu, E,  1857-1909", ????  [electronic resource] /  E Liu," Project Gutenberg,  2008", Public domain in the USA., Text, Tai Mountains (China) -- Fiction," Chinese fiction -- Qing dynasty, 1644-1912",,,, Project Gutenberg  25124, http://www.gutenberg.org/ebooks/25124
00777nas a2200241uu 4500," Zheng, Chuhui, jin shi 834"," ????  [electronic resource] /  Chuhui, jin shi 834 Zheng"," Project Gutenberg,  2008", Public domain in the USA., Text," Tang Xuanzong, Emperor of China, 685-762 -- Anecdotes"," China -- History -- Tang dynasty, 618-907 -- Anecdotes",,,, Project Gutenberg  25125, http://www.gutenberg.org/ebooks/25125
00624nas a2200217uu 4500," Marrett, Evan,  1858-1922", Modern Saints and Seers  [electronic resource] /  Evan Marrett," Project Gutenberg,  2008", Public domain in the USA., Text, Religions,,,,, Project Gutenberg  25126, http://www.gutenberg.org/ebooks/25126
00667nas a2200217uu 4500," Reid, Mayne,  1818-1883", The Tiger Hunter  [electronic resource] /  Mayne Reid," Project Gutenberg,  2008", Public domain in the USA., Text," Mexico -- History -- Wars of Independence, 1810-1821 -- Fiction",,,,, Project Gutenberg  25127, http://www.gutenberg.org/ebooks/25127
00652nas a2200229uu 4500," Zeng, Pu,  1872-1935", ???  [electronic resource] /  Pu Zeng," Project Gutenberg,  2008", Public domain in the USA., Text," Saijinhua, 1874-1936 -- Fiction",,,,, Project Gutenberg  25128, http://www.gutenberg.org/ebooks/25128
00628nas a2200217uu 4500," Anstey, F.,  1856-1934"," Baboo Jabberjee, B.A.  [electronic resource] /  F. Anstey"," Project Gutenberg,  2008", Public domain in the USA., Text, English wit and humor,,,,, Project Gutenberg  25129, http://www.gutenberg.org/ebooks/25129
00655nas a2200229uu 4500," Xuan, Ding,  1832-", ?????  [electronic resource] /  Ding Xuan," Project Gutenberg,  2008", Public domain in the USA., Text," Short stories, Chinese",,,,, Project Gutenberg  25130, http://www.gutenberg.org/ebooks/25130
00684nas a2200229uu 4500," Zhao, Ye, active 40"," ????  [electronic resource] /  Ye, active 40 Zhao"," Project Gutenberg,  2008", Public domain in the USA., Text," China -- History -- Warring States, 403-221 B.C.",,,,, Project Gutenberg  25131, http://www.gutenberg.org/ebooks/25131
00732nas a2200229uu 4500," Altsheler, Joseph A.  (Joseph Alexander),  1862-1919", The Candidate :  A Political Romance  [electronic resource] /  Joseph A. Altsheler," Project Gutenberg,  2008", Public domain in the USA., Text, Political campaigns -- Fiction, Political fiction,,,, Project Gutenberg  25132, http://www.gutenberg.org/ebooks/25132
00750nas a2200241uu 4500," Guyon, Jeanne Marie Bouvier de la Motte,  1648-1717", Spiritual Torrents  [electronic resource] /  Jeanne Marie Bouvier de la Motte Guyon," Project Gutenberg,  2008", Public domain in the USA., Text, Mysticism, Spiritual life -- Catholic Church, Quietism,,, Project Gutenberg  25133, http://www.gutenberg.org/ebooks/25133
00598nas a2200217uu 4500, Pinghuazhuren, ???  [electronic resource] /  Pinghuazhuren," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25134, http://www.gutenberg.org/ebooks/25134
00703nas a2200217uu 4500," Lowry, Edward P.", With the Guards' Brigade from Bloemfontein to Koomati Poort and Back  [electronic resource] /  Edward P. Lowry," Project Gutenberg,  2008", Public domain in the USA., Text," South African War, 1899-1902 -- Personal narratives",,,,, Project Gutenberg  25135, http://www.gutenberg.org/ebooks/25135
00710nas a2200229uu 4500," Hocking, Joseph,  1860-1937", The Pomp of Yesterday  [electronic resource] /  Joseph Hocking," Project Gutenberg,  2008", Public domain in the USA., Text," World War, 1914-1918 -- Fiction", Methodist Church (Great Britain) -- Fiction,,,, Project Gutenberg  25136, http://www.gutenberg.org/ebooks/25136
00592nas a2200217uu 4500, Tongyuanzi, ???  [electronic resource] /  Tongyuanzi," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25137, http://www.gutenberg.org/ebooks/25137
00635nas a2200217uu 4500," Brink, Jan ten,  1834-1901", Dokter Helmond en zijn vrouw  [electronic resource] /  Jan ten Brink," Project Gutenberg,  2008", Public domain in the USA., Text, Dutch fiction,,,,, Project Gutenberg  25138, http://www.gutenberg.org/ebooks/25138
