LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
00668nas a2200241uu 4500, Grayam, No Moving Parts  [electronic resource] /  Grayam," Project Gutenberg,  2008", Public domain in the USA., Text, Short stories, Space ships -- Fiction, Science fiction,,, Project Gutenberg  25078, http://www.gutenberg.org/ebooks/25078
00740nas a2200241uu 4500," Haverfield, Eleanor Luisa,  1870-", Queensland Cousins  [electronic resource] /  Eleanor Luisa Haverfield," Project Gutenberg,  2008", Public domain in the USA., Text, Family -- Juvenile fiction, Adventure stories, Australia -- Juvenile fiction,,, Project Gutenberg  25079, http://www.gutenberg.org/ebooks/25079
00743nas a2200229uu 4500," Sayce, A. H.  (Archibald Henry),  1845-1933"," Babylonians and Assyrians, Life and Customs  [electronic resource] /  A. H. Sayce"," Project Gutenberg,  2008", Public domain in the USA., Text, Assyria -- Social life and customs, Babylonia -- Social life and customs,,,, Project Gutenberg  25080, http://www.gutenberg.org/ebooks/25080
00673nas a2200229uu 4500," Cooke, Marjorie Benton,  1876-1920", The Cricket  [electronic resource] /  Marjorie Benton Cooke," Project Gutenberg,  2008", Public domain in the USA., Text, Girls -- Fiction, Family -- Fiction,,,, Project Gutenberg  25081, http://www.gutenberg.org/ebooks/25081
00647nas a2200217uu 4500," Bull, Charles Livingston,  1874-1932", The Yellow Horde  [electronic resource] /  Charles Livingston Bull," Project Gutenberg,  2008", Public domain in the USA., Text, Wolves -- Fiction,,,,, Project Gutenberg  25082, http://www.gutenberg.org/ebooks/25082
00645nas a2200205uu 4500,," The Idler Magazine, Volume III, March 1893 :   An Illustrated Monthly  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, London (England) -- Periodicals,,,,, Project Gutenberg  25083, http://www.gutenberg.org/ebooks/25083
00782nas a2200217uu 4500," Palmer, G. H.  (George Henry),  1871-", Bell's Cathedrals :  The Cathedral Church of Rochester :  A Description of its Fabric and a Brief History of the Episcopal See  [electronic resource] /  G. H. Palmer," Project Gutenberg,  2008", Public domain in the USA., Text," Rochester Cathedral (Rochester, Kent, England)",,,,, Project Gutenberg  25084, http://www.gutenberg.org/ebooks/25084
00882nas a2200229uu 4500,," The Stars and Stripes, Vol. 1, No. 1, February 8, 1918 :   The American Soldiers' Newspaper of World War I, 1918-1919  [electronic resource] /  United States. Army. American Expeditionary Forces"," Project Gutenberg,  2008", Public domain in the USA., Text," World War, 1914-1918 -- United States -- Periodicals"," World War, 1914-1918 -- Periodicals",,,, Project Gutenberg  25085, http://www.gutenberg.org/ebooks/25085
00711nas a2200241uu 4500," Novick, Irving H.,  1916-2004", The Delegate from Venus  [electronic resource] /  Irving H. Novick," Project Gutenberg,  2008", Public domain in the USA., Text, Science fiction, Short stories, Journalists -- Fiction,,, Project Gutenberg  25086, http://www.gutenberg.org/ebooks/25086
00704nas a2200229uu 4500," Denslow, W. W.  (William Wallace),  1856-1915", Twenty Years of Hus'ling  [electronic resource] /  W. W. Denslow," Project Gutenberg,  2008", Public domain in the USA., Text, Business," Johnston, J. P. (James Perry), b. 1852",,,, Project Gutenberg  25087, http://www.gutenberg.org/ebooks/25087
00673nas a2200217uu 4500," Atteridge, A. Hilliard  (Andrew Hilliard)"," Famous Sea Fights, from Salamis to Tsu-Shima  [electronic resource] /  A. Hilliard Atteridge"," Project Gutenberg,  2008", Public domain in the USA., Text, Naval battles,,,,, Project Gutenberg  25088, http://www.gutenberg.org/ebooks/25088
